Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
12/26/2004,00:58:53,3.295,95.982,Earthquake,30.0,,601.0,9.1,MW,,,22.0,,,1.17,OFFICIAL20041226005853450_30,OFFICIAL,US,OFFICIAL,Reviewed
03/11/2011,05:46:24,38.297,142.373,Earthquake,29.0,,541.0,9.1,MWW,,,9.5,,,1.16,OFFICIAL20110311054624120_30,OFFICIAL,US,OFFICIAL,Reviewed
02/27/2010,06:34:12,-36.122,-72.898,Earthquake,22.9,9.2,454.0,8.8,MWW,,,17.8,,,1.09,OFFICIAL20100227063411530_30,OFFICIAL,US,OFFICIAL,Reviewed
02/04/1965,05:01:22,51.251,178.715,Earthquake,30.3,,,8.7,MW,,,,,,,OFFICIAL19650204050122_30,OFFICIAL,ISCGEM,OFFICIAL,Automatic
04/11/2012,08:38:37,2.327,93.063,Earthquake,20.0,,499.0,8.6,MW,,,16.6,,,1.33,OFFICIAL20120411083836720_20,OFFICIAL,US,OFFICIAL,Reviewed
03/28/2005,16:09:37,2.085,97.108,Earthquake,30.0,,510.0,8.6,MWW,,,22.1,,,0.91,OFFICIAL20050328160936530_30,OFFICIAL,US,OFFICIAL,Reviewed
09/12/2007,11:10:27,-4.438,101.367,Earthquake,34.0,,411.0,8.4,MWW,,,32.3,,,1.03,OFFICIAL20070912111026830_34,OFFICIAL,US,OFFICIAL,Reviewed
06/23/2001,20:33:14,-16.265,-73.641,Earthquake,33.0,,518.0,8.4,MWW,,,,,,1.05,OFFICIAL20010623203314130_33,OFFICIAL,US,OFFICIAL,Reviewed
11/15/2006,11:14:14,46.592,153.266,Earthquake,10.0,,576.0,8.3,MWC,,,20.9,,,1.07,USP000EXFN,US,US,GCMT,Reviewed
09/16/2015,22:54:33,-31.5729,-71.6744,Earthquake,22.44,3.2,,8.3,MWW,,,19.0,0.684,4.7,1.02,US20003K7A,US,US,US,Reviewed
09/25/2003,19:50:06,41.815,143.91,Earthquake,27.0,,669.0,8.3,MWC,,,27.4,,,0.88,USP000C8KV,US,US,HRV,Reviewed
10/04/1994,13:22:56,43.773,147.321,Earthquake,14.0,4.7,,8.3,MW,,,,,,0.9,USP0006KDP,US,US,HRV,Reviewed
05/24/2013,05:44:49,54.892,153.221,Earthquake,598.1,4.1,385.0,8.3,MWW,,,10.0,,,1.02,USB000H4JH,US,US,US,Reviewed
05/23/1989,10:54:46,-52.341,160.568,Earthquake,10.0,,,8.2,MW,,,,,,1.3,USP0003VJ7,US,US,PAR,Reviewed
06/09/1994,00:33:16,-13.841,-67.553,Earthquake,631.3,,,8.2,MW,,,,,,1.1,USP0006DZC,US,US,HRV,Reviewed
04/11/2012,10:43:11,0.802,92.463,Earthquake,25.1,7.3,341.0,8.2,MWC,,,14.9,,,0.9,USP000JHJB,US,US,US,Reviewed
01/24/1965,00:11:17,-2.608,125.952,Earthquake,20.0,,,8.2,MW,,,,,,,ISCGEM861299,ISCGEM,ISCGEM,ISCGEM,Automatic
05/16/1968,00:49:02,40.86,143.435,Earthquake,29.9,,,8.2,MW,,,,,,,ISCGEM821946,ISCGEM,ISCGEM,ISCGEM,Automatic
04/01/2014,23:46:47,-19.6097,-70.7691,Earthquake,25.0,1.8,,8.2,MWW,,,23.0,0.609,,0.66,USC000NZVD,US,US,US,Reviewed
02/17/1996,05:59:31,-0.891,136.952,Earthquake,33.0,,,8.2,MW,,,,,,1.3,USP0007D1W,US,US,HRV,Reviewed
04/01/2007,20:39:59,-8.466,157.043,Earthquake,24.0,,439.0,8.1,MWC,,,14.7,,,1.32,USP000F83M,US,US,GCMT,Reviewed
03/25/1998,03:12:25,-62.877,149.527,Earthquake,10.0,,,8.1,MWC,,,,,,1.1,USP0008HZD,US,US,HRV,Reviewed
07/26/1971,01:23:22,-4.817,153.172,Earthquake,40.0,,,8.1,MW,,,,,,,ISCGEM782684,ISCGEM,ISCGEM,ISCGEM,Automatic
01/13/2007,04:23:21,46.243,154.524,Earthquake,10.0,,606.0,8.1,MWC,,,14.0,,,1.12,USP000F2AB,US,US,GCMT,Reviewed
09/29/2009,17:48:11,-15.489,-172.095,Earthquake,18.0,,520.0,8.1,MWC,,,20.8,,,1.01,USP000H1YS,US,US,GCMT,Reviewed
12/23/2004,14:59:04,-49.312,161.345,Earthquake,10.0,,331.0,8.1,MWC,,,59.3,,,1.12,USP000DB93,US,US,HRV,Reviewed
10/17/1966,21:42:00,-10.665,-78.228,Earthquake,40.0,,,8.1,MW,,,,,,,ISCGEM842581,ISCGEM,ISCGEM,ISCGEM,Automatic
07/30/1995,05:11:24,-23.34,-70.294,Earthquake,45.6,,,8.0,MW,,,,,,1.1,USP000714T,US,US,HRV,Reviewed
10/09/1995,15:35:54,19.055,-104.205,Earthquake,33.0,,,8.0,MW,,,,,,1.3,USP00074VC,US,US,HRV,Reviewed
05/03/2006,15:26:40,-20.187,-174.123,Earthquake,55.0,,626.0,8.0,MWC,,,20.7,,,1.18,USP000EG5G,US,US,HRV,Reviewed
07/31/1970,17:08:05,-1.597,-72.532,Earthquake,644.8,,,8.0,MW,,,,,,,ISCGEM794176,ISCGEM,ISCGEM,ISCGEM,Automatic
08/15/2007,23:40:58,-13.386,-76.603,Earthquake,39.0,,625.0,8.0,MWC,,,25.7,,,0.86,USP000FJTA,US,US,GCMT,Reviewed
05/07/1986,22:47:11,51.52,-174.776,Earthquake,33.0,,,8.0,MW,,,,,,1.1,USP0002TMU,US,US,HRV,Reviewed
03/03/1985,22:47:07,-33.135,-71.871,Earthquake,33.0,,,8.0,MW,,,,,,1.0,USP0002CCZ,US,US,HRV,Reviewed
09/19/1985,13:17:47,18.19,-102.533,Earthquake,27.9,3.8,,8.0,MW,,,,,,1.3,USP0002JWE,US,US,HRV,Reviewed
02/06/2013,01:12:26,-10.799,165.114,Earthquake,24.0,,460.0,8.0,MWW,,,20.9,,,1.29,USC000F1S0,US,US,US,Reviewed
11/16/2000,04:54:57,-3.98,152.169,Earthquake,33.0,,254.0,8.0,MWC,,,,,,1.2,USP000A3QQ,US,US,HRV,Reviewed
12/02/1972,00:19:52,6.405,126.64,Earthquake,60.0,,,8.0,MW,,,,,,,ISCGEM765501,ISCGEM,ISCGEM,ISCGEM,Automatic
01/14/1976,16:47:34,-28.427,-177.657,Earthquake,33.0,,,8.0,MS,,,,,,,USP0000EE7,US,US,US,Reviewed
07/14/1971,06:11:30,-5.524,153.85,Earthquake,40.0,,,8.0,MW,,,,,,,ISCGEM782181,ISCGEM,ISCGEM,ISCGEM,Automatic
05/31/1970,20:23:29,-9.183,-78.737,Earthquake,45.0,,,7.9,MW,,,,,,,ISCGEM796163,ISCGEM,ISCGEM,ISCGEM,Automatic
06/23/2014,20:53:10,51.8486,178.7352,Earthquake,109.0,1.8,,7.9,MWW,,,22.0,0.133,,0.71,USC000RKI5,US,US,US,Reviewed
05/16/1968,10:39:02,41.43,142.864,Earthquake,25.0,,,7.9,MW,,,,,,,ISCGEM822083,ISCGEM,ISCGEM,ISCGEM,Automatic
01/01/1996,08:05:11,0.729,119.931,Earthquake,24.0,,,7.9,MW,,,,,,1.2,USP00079ZV,US,US,HRV,Reviewed
05/12/2008,06:28:02,31.002,103.322,Earthquake,19.0,,774.0,7.9,MWC,,,11.3,,,1.2,USP000G650,US,US,US,Reviewed
09/12/2007,23:49:04,-2.625,100.841,Earthquake,35.0,,446.0,7.9,MWC,,,29.1,,,1.01,USP000FN2B,US,US,GCMT,Reviewed
12/03/1995,18:01:09,44.663,149.3,Earthquake,33.0,,,7.9,MW,,,,,,1.1,USP000782N,US,US,HRV,Reviewed
09/12/1979,05:17:51,-1.679,136.04,Earthquake,5.0,,,7.9,MS,,,,,,,USP00012WP,US,US,US,Reviewed
11/03/2002,22:12:41,63.517,-147.444,Earthquake,4.9,,771.0,7.9,MWC,,,,,,,USP000BG0M,US,AEIC,HRV,Reviewed
08/19/1977,06:08:55,-11.085,118.464,Earthquake,33.0,,,7.9,MS,,,,,,,USP0000Q62,US,US,US,Reviewed
