Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
12/26/2004,00:58:53,3.295,95.982,Earthquake,30.0,,601.0,9.1,MW,,,22.0,,,1.17,OFFICIAL20041226005853450_30,OFFICIAL,US,OFFICIAL,Reviewed
03/11/2011,05:46:24,38.297,142.373,Earthquake,29.0,,541.0,9.1,MWW,,,9.5,,,1.16,OFFICIAL20110311054624120_30,OFFICIAL,US,OFFICIAL,Reviewed
02/27/2010,06:34:12,-36.122,-72.898,Earthquake,22.9,9.2,454.0,8.8,MWW,,,17.8,,,1.09,OFFICIAL20100227063411530_30,OFFICIAL,US,OFFICIAL,Reviewed
02/04/1965,05:01:22,51.251,178.715,Earthquake,30.3,,,8.7,MW,,,,,,,OFFICIAL19650204050122_30,OFFICIAL,ISCGEM,OFFICIAL,Automatic
04/11/2012,08:38:37,2.327,93.063,Earthquake,20.0,,499.0,8.6,MW,,,16.6,,,1.33,OFFICIAL20120411083836720_20,OFFICIAL,US,OFFICIAL,Reviewed
03/28/2005,16:09:37,2.085,97.108,Earthquake,30.0,,510.0,8.6,MWW,,,22.1,,,0.91,OFFICIAL20050328160936530_30,OFFICIAL,US,OFFICIAL,Reviewed
09/12/2007,11:10:27,-4.438,101.367,Earthquake,34.0,,411.0,8.4,MWW,,,32.3,,,1.03,OFFICIAL20070912111026830_34,OFFICIAL,US,OFFICIAL,Reviewed
06/23/2001,20:33:14,-16.265,-73.641,Earthquake,33.0,,518.0,8.4,MWW,,,,,,1.05,OFFICIAL20010623203314130_33,OFFICIAL,US,OFFICIAL,Reviewed
11/15/2006,11:14:14,46.592,153.266,Earthquake,10.0,,576.0,8.3,MWC,,,20.9,,,1.07,USP000EXFN,US,US,GCMT,Reviewed
09/16/2015,22:54:33,-31.5729,-71.6744,Earthquake,22.44,3.2,,8.3,MWW,,,19.0,0.684,4.7,1.02,US20003K7A,US,US,US,Reviewed
